	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00644992	6	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00644992	6	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00647488	6	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00649568	6	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00649568	6	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00652912	6	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00654992	6	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00654992	6	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00657488	6	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00659568	6	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00659568	6	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00662912	6	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00664992	6	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00664992	6	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00667488	6	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00669568	6	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00669568	6	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00672912	6	7	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00674992	6	7	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00674992	6	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00677488	6	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00679568	6	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00679568	6	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00682912	6	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00684992	6	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00684992	6	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00687488	6	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00689568	6	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00689568	6	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00692912	6	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00694992	6	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00694992	6	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00697488	6	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00699568	6	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00699568	6	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00702912	7	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00704992	7	0	1	11	2	1	0	8514	16	0	12.2043	 	0	0
